id;text;category;left;right
zwi008;Czy konflikty rozładowujesz żartem?;Związkowe;NIE;TAK
pik031;Czy przywiązanie emocjonalne zwiększa Twoje pożądanie?;Pikantne;NIE;TAK
fun017;Czy Twoja lodówka bywa otwierana bez powodu (tak po prostu)?;Śmieszne;NIE;TAK
pik043;Myślisz, że ważniejsza jest długość czy technika?;Pikantne;DŁUGOŚĆ;TECHNIKA
zwi018;Czy lubisz planować wspólny czas z wyprzedzeniem?;Związkowe;NIE;TAK
zwi042;Czy szczerość powinna być absolutna – nawet jeśli rani?;Związkowe;NIE;TAK
wol077;Wolisz mieszkać blisko centrum miasta czy na jego obrzeżach?;Wolisz;CENTRUM;OBRZEŻA
wol072;Wolisz oglądać filmy z przyjaciółmi czy samotnie?;Wolisz;Z PRZYJACIÓŁMI;SAMOTNIE
imp005;Kto w grupie najczęściej zaprasza do tańca?;Imprezowe;OSOBA PO LEWO;OSOBA PO PRAWO
zwi059;Czy czujesz się swobodnie rozmawiając o przeszłości partnera?;Związkowe;NIE;TAK
imp027;Czy zdarza Ci się przebrać na imprezę tematyczną?;Imprezowe;NIE;TAK
pik019;Czy lubisz rozmowy o seksie?;Pikantne;NIE;TAK
fun051;Jak często zdarza Ci się przypadkowo włączyć mikrofon w złych momentach?;Śmieszne;NIGDY;CZĘSTO
imp077;Czy zdarza Ci się palić jointa na imprezie?;Imprezowe;NIE;TAK
pik030;Czy lubisz eksperymentować z miejscem i czasem zbliżenia?;Pikantne;NIE;TAK
imp023;Kto w grupie najczęściej proponuje nowe gry imprezowe?;Imprezowe;OSOBA PO LEWO;OSOBA PO PRAWO
pik032;Czy chemia fizyczna w związku jest dla Ciebie ważna?;Pikantne;NIE;TAK
pik029;Czy potrafisz wyczytać intencje z ciała drugiej osoby?;Pikantne;NIE;TAK
zwi052;Czy czujesz się swobodnie pokazując swoje słabości w związku?;Związkowe;NIE;TAK
imp036;Wolisz piwo jasne czy ciemne?;Imprezowe;JASNE;CIEMNE
wol003;Wolisz nosić okulary czy soczewki kontaktowe?;Wolisz;OKULARY;SOCZEWKI
wol064;Wolisz spędzać czas na zewnątrz czy w domu?;Wolisz;NA ZEWNĄTRZ;W DOMU
imp084;Czy potrafisz imprezować do białego rana?;Imprezowe;NIE;TAK
imp003;Wolisz koktajle owocowe czy z dodatkiem alkoholu mocnego?;Imprezowe;OWOCOWE;MOCNY ALKOHOL
wol005;Wolisz pracować w zespole czy samodzielnie?;Wolisz;W ZESPOLE;SAMODZIELNIE
zwi009;Czy masz trudność z proszeniem o pomoc w związku?;Związkowe;NIE;TAK
pik021;Czy lubisz zaskakiwać partnera czymś pikantnym?;Pikantne;NIE;TAK
wol027;Wolisz biegać rano czy wieczorem?;Wolisz;RANO;WIECZOREM
zwi015;Czy masz potrzebę ciągłego kontaktu z partnerem?;Związkowe;NIE;TAK
wol060;Wolisz jeść na słodko czy na słono?;Wolisz;NA SŁODKO;NA SŁONO
imp028;Kto według Ciebie najczęściej wygrywa w gry imprezowe?;Imprezowe;OSOBA PO LEWO;OSOBA PO PRAWO
fun020;Czy zdarza Ci się śmiać w zupełnie nieodpowiednich momentach?;Śmieszne;NIE;TAK
imp009;Jakiej marki piwo wolisz - Tyskie czy Żywiec?;Imprezowe;TYSKIE;ŻYWIEC
zwi019;Czy w związku czujesz się swobodnie mówiąc o swoich marzeniach?;Związkowe;NIE;TAK
fun056;Czy Twoje reakcje przypominają memy?;Śmieszne;NIE;TAK
imp015;Wolisz imprezy w domu czy w klubie?;Imprezowe;DOM;KLUB
zwi056;Czy lubisz planować wspólną przyszłość?;Związkowe;NIE;TAK
fun011;Czy zdarza Ci się kliknąć 'odśwież' szybciej, niż strona ma szansę się załadować?;Śmieszne;NIE;TAK
imp049;Jakie piwo wolisz - Heineken czy Lech?;Imprezowe;HEINEKEN;LECH
fun047;"Czy zdarza Ci się powiedzieć ""dzień dobry"" o 22:00?";Śmieszne;NIE;TAK
fun034;Czy gdy ktoś coś tłumaczy zazwyczaj myślisz o czymś innym czy jesteś skupiony?;Śmieszne;MYŚLĘ O CZYMŚ INNYM;JESTEM SKUPIONY
wol018;Wolisz nosić jasne czy ciemne ubrania?;Wolisz;JASNE;CIEMNE
wol013;Wolisz jeść śniadanie na słodko czy na słono?;Wolisz;SŁODKO;SŁONO
pik051;Czy ważna jest dla Ciebie estetyka w zbliżeniach?;Pikantne;NIE;TAK
pik022;Czy czujesz się swobodnie mówiąc „nie” nawet w intymnej sytuacji?;Pikantne;NIE;TAK
imp055;Czy brałeś udział w zabawie w „prawda czy wyzwanie”?;Imprezowe;NIE;TAK
wol046;Wolisz oglądać filmy w domu czy w kinie?;Wolisz;W DOMU;W KINIE
zwi012;Czy zdarza Ci się mówić coś, czego później żałujesz?;Związkowe;NIE;TAK
pik042;Czy Twoja wyobraźnia erotyczna zaskakuje nawet Ciebie?;Pikantne;NIE;TAK
imp060;Kto według Ciebie najlepiej prowadzi karaoke?;Imprezowe;OSOBA PO LEWO;OSOBA PO PRAWO
zwi045;Czy w relacji powinno się mówić wszystko?;Związkowe;NIE;TAK
imp007;Czy uważasz, że jesteś duszą towarzystwa?;Imprezowe;NIE;TAK
imp029;Jaki drink wolisz - Mohito czy Sex On The Beach?;Imprezowe;MOHITO;SEX ON THE BEACH
wol069;Wolisz ubierać się kolorowo czy stonowanie?;Wolisz;KOLOROWO;STONOWANIE
wol080;Wolisz jeść fast food czy domowe posiłki?;Wolisz;FAST FOOD;DOMOWE
imp018;Wolisz imprezy w klubie czy w domu znajomych?;Imprezowe;W KLUBIE;W DOMU
fun044;Czy Twoje zdjęcie w dowodzie wygląda jakbyś był poszukiwany?;Śmieszne;NIE;TAK
wol024;Wolisz oglądać komedie czy thrillery?;Wolisz;KOMEDIE;THRILLERY
imp075;Wolisz imprezy nocne czy popołudniowe?;Imprezowe;NOCNE;POPOŁUDNIOWE
zwi020;Czy potrafisz utrzymać relację na odległość?;Związkowe;NIE;TAK
zwi044;Czy starasz się unikać niepotrzebnych spięć w związku?;Związkowe;NIE;TAK
fun018;Zdarza Ci się kliknąć „wyślij”, zanim skończysz pisać wiadomość?;Śmieszne;NIE;CZĘSTO
zwi043;Czy poczucie humoru w związku jest dla Ciebie ważne?;Związkowe;NIE;TAK
imp068;Kto w grupie najczęściej zaprasza do tańca nieznajomych?;Imprezowe;OSOBA PO LEWO;OSOBA PO PRAWO
imp019;Kto w grupie najczęściej proponuje eksperymentalne drinki?;Imprezowe;OSOBA PO LEWO;OSOBA PO PRAWO
wol036;Wolisz chodzić do kina na nowe premiery czy czekać na premierę w domu?;Wolisz;W KINIE;W DOMU
imp064;Wolisz piwo jasne czy pszeniczne?;Imprezowe;JASNE;PSZENICZNE
pik006;Czy jesteś otwarty na dzielenie się swoimi fantazjami w trakcie zbliżenia?;Pikantne;NIE;TAK
wol007;Wolisz czytać kryminały czy fantastykę?;Wolisz;KRYMINAŁY;FANTASTYKA
fun021;Czy Twoje zwierzęta czasem patrzą na Ciebie, jakbyś był dziwny?;Śmieszne;NIE;TAK
wol067;Wolisz wziąć prysznic czy kąpiel?;Wolisz;PRYSZNIC;KĄPIEL
wol039;Wolisz gotować sam czy jeść na mieście?;Wolisz;GOTOWAĆ SAM;JEŚĆ NA MIEŚCIE
wol052;Wolisz podróżować samolotem czy samochodem?;Wolisz;SAMOLOT;SAMOCHÓD
zwi037;Czy często rozczulasz się nad romantycznymi filmami?;Związkowe;NIE;TAK
zwi003;Czy lubisz wspólne planowanie codziennych obowiązków?;Związkowe;NIE;TAK
zwi013;Czy czujesz się doceniany w relacji?;Związkowe;NIE;TAK
imp011;Wolisz grać w beer pong czy w karty?;Imprezowe;BEER PONG;KARTY
imp038;Wolisz shoty owocowe czy klasyczne wódki?;Imprezowe;OWOCOWE;KLASYCZNE
